post	implicit_class	extra_implicit_class
" rt : white racialists rally in edmonton  alberta and london  ontario as a commemoration of  "" white pride worldwide day "" "" ... """	incitement	
" rt another hate hoax : police nab notorious  "" white supremacist "" "" who drew swastikas around a college """	white_grievance	
" rt australia returns non-white invaders ; jewish  "" human rights "" "" groups flip out | more : """	white_grievance	
" rt black people can't be racist  "" : ohio man pushes white jogger into traffic because he "" "" hates whites "" "" via """	incitement	
" rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """	stereotypical	
" rt since when was jesus  "" mixed race "" "" ? ... please stop trying to stick jesus and christianity into your criminal communist ideology . don't tell me you're like those bbc anti-white racists that depict julius caesar and achilles as black men in the name of "" "" diversity "" "" and inclusiveness """	white_grievance	
" they smother the good white people of america ! they need to be hung  brother  "" south "" "" ! """	threatening	
" uk sport displays anti white racism when they cut funding for  "" white sports "" "" prior to tokyo olympics ! """	white_grievance	
" us should have leaders this brave rt :  "" i don't want blacks in estonia ; this is a white country "" "" via """	incitement	
#altrightmeans becoming great again .	incitement	
#aryan men & women will either rise up to fight for their heritage  children  & future  or the white race will cease to exist . choose now .	incitement	
#blacklivesmatter and again . black on white crime ! what a surprise ...	white_grievance	
#defundnfl stop paying to make people who hate you  your nation  your people rich . #wakeupwhiteman	incitement	
#iffootballdidntexist white men would fulfill their tribal instinct by standing up for their own kind  not worshipping negros who hate them .	incitement	
#kkk  i do not mind your booklet . how can i support ? ? ?	incitement	
#ukraine #ukrainian thanks brothers . white pride worldwide . #wpww #14words .	incitement	
. hey watch this . #leftism = enabling #islamists since times before #crusades . #historyrepeats	white_grievance	
. op ed : islamic doctrine of shariah is anti-constitutional . your future potus should agree .	other	
: and throw in weekly standard these filthy white trash disgust me	inferiority	
: csp poll ( 2015 ): 29 % of muslim-americans : violence against those who insult muhammad is acceptable	stereotypical	
: elin krantz : just another dead white liberal female raped to death by non-white invader	stereotypical	
: hollywood jew harvey weinstein busted for decades-long sexual abuse of white women via	stereotypical	
: jewish harvard professor wants to abolish the white race ! read more : via	stereotypical	
: kanye west releases his most anti-white rap song ever sucks hes the most racist man alive ..	white_grievance	
: nice to know that tsunami didn't dampen their energy to stay in the 7th century .	irony	
: uk : students in islamic schools taught sharia amputation methods and that jews are conspiring to take over ...	stereotypical	
: where is the media outrage ? white man was lynched and robbed by a racist black gang ! ( video ) via ...	white_grievance	
: whores of babylon : lena dunham celebrates white genocide via #whitegenocide #waronwhites	white_grievance	
a certain 1400 years old religious ideology has proven to be the biggest killing machine of innocent people in human history	stereotypical	
a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !	incitement	
all jews should be evicted from white countries	threatening	
all white are not aryans ; why are they trying to board the bandwagon of aryans ?	other	
angola used to be a prosperous portuguese colony . whites fled en masse in 1975	incitement	
another white fourteen year old gang-raped by africans in norway via #wpww	stereotypical	
anti-white tweets from hijab #rio2016 athlete . #deportallmuslims	threatening	
are we actually fighting an asymmetrical war against white genocide or are we just playing tiddlywinks with enemies who mean to kill us ?	white_grievance	
are you jewish ? if so you aren't white . either way you're anti-white .	white_grievance	
basic human rightswhat for so how are u guys on jews and blacksben n i hate them	incitement	
because of course #whitepeople need #billboard #marketing kkk #kkk	incitement	
before i read it was white pride i was going to suggest white only sessions	incitement	
belgium : non-white invader rapes white woman after dont rape course : via	stereotypical	
both north america and europe belong to us . white men conquered and colonized both .	incitement	
britain sees race war brewing between non-white invaders | read more :	stereotypical	
can whites have black artists shoved down their throats without losing their own culture and heritage ?	white_grievance	
come together white people or perish	incitement	
don't tell bernie ; hescandinavian socialism & will shudder islam invasion	stereotypical	
don't think the white public won't turn against the blm unless the lying media tells them to . the white public rejects the media	incitement	
don't worry  bill . it's not a pogrom . we're just replacing jews with white people .	white_grievance	
elin krantz : just another #dead white liberal #female #raped to #death by #non-white #invader via	stereotypical	
extinction of america's white population speeds up #swrm #whitegenocide #prowhite #speedsup via	white_grievance	
final solution : the 1941 plan to exterminate germans #whitegenocide #munich #prayformunich	white_grievance	
german #holocaust #revisionist patriot horst mahler arrested in hungary via	stereotypical	
hate group because your proud to be a white american christian ? insanity ! and very disappointing !	white_grievance	
he is also a black racist . dont forget that .	white_grievance	
help us in california . they are killing americans jobs and taking over the state . some wont go out if they dont have to . a lot dont speak english . they have taken over everything . the politicians are not for americans . they are for illegals . cant move	stereotypical	
heretics = infidels halal to kill	stereotypical	
horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via	stereotypical	
i don't think his message of racial inclusion was aimed at minorities . i think it was aimed at cucky whites .	white_grievance	
i stick up for white people  thats not what you're are racist and putting down other races .	white_grievance	
i support the alt right aspersions for portion of us to be all white ethnostate  even	incitement	
i support the white brotherhood	incitement	
i take that back . one of his parents must be white . not purebred	inferiority	
i was born white  i can't help it . i should just kill myself ... said no one ever .	white_grievance	
if a muslim kill a jew they celebrate him as a hero . if a christian kill a jew we call	stereotypical	
if it's white it's right	incitement	
interracial marriage = white genocide	white_grievance	
is white nationalism an #adl honey pot front ?	white_grievance	
islam is racist	stereotypical	
isn't that how it usually begins ? this hatred for infidels and belief in islamic supremacy etc .	stereotypical	
it would be nice .. i would like the idea of my white race surviving .. to thrive and kick a	incitement	
it's fundamentally different . whites are better off without blacks and jews ; both parasites on white civilization	inferiority	
it's us white gentiles getting screwed ! :	white_grievance	
its ok to love who you are . unless you're white	white_grievance	
jewish activists welcome the scandals slowing the trump agenda	stereotypical	
jews know deep down  they're not white	other	
jews run banking  media  academia  and govt ; you're the dummies .	stereotypical	
jews want each of those girls to reject white men and use their white wombs to hatch black babies with black men .	inferiority	
just search twitter with ' white people '  you'd be surprised on how many anti-white non-whites there are . #diversity	white_grievance	
lahore was a beautiful city dominated by sikhs and hindus ... we lost it ...	other	
lol you're jewish though . not white .	other	
look at this  some angry black person . you were right they're all violent .	stereotypical	
love you the bearer of aryan race ! ! see what is going on !	incitement	
maga white cookouts would be nice .	incitement	
make america white again : saturdays nationalist unity gathering | traditionalist youth network	incitement	
maybe because somalis have a habit of being criminals people hate them ?	stereotypical	
migrants change uk forever : white britons will be in minority by 2066 via	white_grievance	
most jews follow / embrace their leaders anti white hate  thus most jews are not really ' good people ' like ramz says .	stereotypical	
mr moshe it's such a complex issue - again  i do fault the media for 99 % of all thus silliness because the more hate they stir up the more money they make . i would say that used to be the case  now it's the opposite . every white person is a racist and all blacks are victims	white_grievance	
music against the ' holocaust ' hoax ? : music can probably be a good weapon to amass awareness against lies . ther ...	stereotypical	
muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who d	stereotypical	
muslims are always wanting to kill someone ! its their duty to kill the infidel .	stereotypical	
muslims are commanded to kill all jews ! see verse :	stereotypical	
muslims kill non-muslims because they kill non-muslims . period . vj is a hate america first-er . that's why obama hired him .	stereotypical	
my white privilege ? see there's that again you know absolutely nothing about me or my family but i'm racist and get white privilege lol	white_grievance	
nba's millonare anti-black racist jew tells girlfriend  ' in israel  blacks are treated like dogs ' | read more :	stereotypical	
negroes have different reproductive strategy . they are more successful than whites  reproductively speaking .	stereotypical	
never vote for somebody who doesn't say up front he is for the white race ! code words don't cut it !	incitement	
nothing to see here . we all know black on black and black on white crime is	white_grievance	
now they are calling for an invasion . this is white genocide ! !	white_grievance	
now why would british jews want an influx of syrian moslems ?	incitement	
our heroes will never be theirs . multiculturalism is a hoax . hail white america .	incitement	
racist black thugs shoot white baby in the face for the fun of it via #flegs	stereotypical	
see  literally being white is racist #whitegenocide	white_grievance	
sellout debases himself to beg for jewish money & votes	stereotypical	
selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...	irony	
she doesn't want to be white  she married a stinking jew .	inferiority	
so ? welcome to the real world . this is what today's immigrants want to do to whites	stereotypical	
so what's the conspiracy ? jews lied about white people who	stereotypical	
some racist libtards say that if #trump wins  they will move to #canada . that's pretty funny ! why move to a white country  and not #mexico ?	irony	
speaking out against obama ! #rt #stopislam #makedclisten #crusades #wakeupamerica	incitement	
stop #whitegenocide protect white children .	white_grievance	
stop hurting white people .	white_grievance	
thats why i always said he was a muslim president	white_grievance	
the 1790 naturalization act explicitly stated that america was only for white	incitement	
the left succeeded in deceit of equating white identity with white supremacy . here's the why :	white_grievance	
the sign says : we're better will less white people than with more white people .	white_grievance	
the traitors are the ones who are not trying to stop the jews from turning american into a non-white country .	incitement	
there is no black vs white issue in america there is muslims problem & they infiltrating black groups	incitement	
there is no hate . what they want to root out is any form of white european identity . they have declared	white_grievance	
there's tons of documented evidence that the white race is under attack.the straight white	white_grievance	
they do stand for one thing : zionism.jew nationalism - good ! white nationalism - bad ! why is that ?	stereotypical	
they've been hating for 1400 + years it tells th to do so in the quran and hadiths if you care to read up	stereotypical	
this is aryan  no orthodox christian ; white & black is none of our business ; only aryans are invited	incitement	
too bad your people are turning into soap in south africa .	other	
trump supports jews . jews support whitegenocide . get the picture ?	stereotypical	
trump's accurate analysis & description of globalists controlling american gov  media & banking has jews uneasy . globalist = jew or jew puppet	stereotypical	
understanding women and how the jew ruined her and white society . pls ck my latest thx !	stereotypical	
unity among white people is what makes america great ! minorities and diversity make america weak and our society crumble !	incitement	
uplift of the day #expeltheinvaders #europeforeuropeans	incitement	
using the enemy's anti-white hate propaganda . #wpww	white_grievance	
we are subjected to anti-white hate : to blame for black fai	white_grievance	
we cannot overcome man if man mixes with different races who do not even have the required iq ( low iq ) to even understand nietzsche's work	inferiority	
we must learn from the mistakes of our ancestors . hitler made a deal with them and look what they did to him .	incitement	
we must secure the existence of our people and a future for white children .	incitement	
well  that's all allah is teaching them  kill  kill  kill and then kill some more . such a violent religion .	stereotypical	
well white people have killed a lot of people so maybe it's a good thing . or maybe we should just kill vile nazis like you .	threatening	
what about the betsy ross flag  though ? back-to-basics white nationalism  13 white ethnostate	incitement	
what is there to misunderstand about islamic ideology of kill  kill  kill and kill some more ?	stereotypical	
what you call white supremacy is actually white competency	white_grievance	
white children are disproportionately the v	white_grievance	
white countries are being colonized across the globe which will make white culture and societies impossible . war by demographics .	white_grievance	
white extinction is victory tbh	incitement	
white genocide in america 1960-2060 #swrm #whitegenocide #america via	white_grievance	
white genocide is worldwide  not just in america . it is something we can rally around in every white nation .	incitement	
white people need to be self reliant no need to stand by for the jew grocery store to feed them	incitement	
white power | read more : via	incitement	
white pride worldwide hooded sweatshirt via	incitement	
white protester attacked in #ferguson negrogeddon	white_grievance	
white revolution is the only solution	incitement	
white self-hate : master stroke of the george lincoln rockwell #whitepeople #whitepride #wpww	incitement	
white welcome aboard  glad to have you	incitement	
white western race nations are going through a rat infestation & when the white westerners are gone the remaning races will still be just rats	inferiority	
whites are not bothering anybody . people like you feel empowered by the media to demonize them . white p	white_grievance	
who said white can't ? i'm sorry but it's white choice first then everything after . we see that in film  movies and daily living	incitement	
why #hindumassmurder ? bcoz hindus worship leaders like gandhiji.congress imports 40000 #rohingyas & 2cr bangladeshis 2 destroy hindus .	white_grievance	
why do we let jews control our society  frame every issue & dictate our historical and political paradigms ? #questionsineedanswersto	stereotypical	
will mike tell us how jewish wives are the last stand of implicit white identity ?	incitement	
words like socialist etc don't matter but cheating and falsehood of jews are not tolerable worldwide ; this is not germany .	stereotypical	
worse than a loaded gun ! ! since guns don't kill people . only planned parenthood and devout muslims kill people	stereotypical	
yet the only arrest made was a liberal  bernie voting  moslem . not one white trump voting racist . makes you think	stereotypical	
you are just a video peddler you are misusing ns & ah ; not even knowing aryan race ; you must be a jew	stereotypical	
you can go to the websiter my white brotherwww.theklanofamerica.com	incitement	
you hate white people because we're better looking and we're smarter .	inferiority	
you know it's #fakenews when an organization cites anti-white hate groups like adl and splc.can you say gullible ? bwaaaaahahahahahaha ! !	white_grievance	
you sound like a racist . do you hate white people  support genocide of native whites ?	white_grievance	
you'd think a jew would be more sensitive about people getting gassed .	irony	
you're a white man  frank . you're automatically a fascist to these people . perhap	white_grievance	
you're distraught by the fact the video dispels myths / falsehoods of ' innocent ' black man assaulted by ' evil ' whites .	white_grievance	
"  "" : blood & honour : the white aryan resistance t-shirt from the white resister : "" "" ; """	incitement	
"  "" heritage not hate  guys ! the entire csa was black ! "" "" """	white_grievance	
"  "" how the alt-right activist can avoid being doxed "" "" - fmi """	white_grievance	
" #letspretend we are living in a  "" colorblind "" "" and "" "" postracial "" "" society  not an anti-white one """	white_grievance	
" always place the race card first .  "" those racist muslims are ... "" "" or "" "" those racist supporters of islam ... "" "" """	stereotypical	
" hr defends anybody not white and attacks whites in the name of  "" human rights . "" "" """	white_grievance	
" it is equally prejudiced  albeit more empirically baseless  to assume that black people are harmless or  "" just like us "" "" """	inferiority	
" it's a hollow simulacrum of  "" white advocacy "" "" if jews are accepted as white """	inferiority	
" jews r an ancient tribe . they do not identify as  "" white "" "" . they actually hate white people ! """	white_grievance	
" more anti-white hate propaganda re : wwii - it's not just the germans  all whites guilty for fake  "" holocaust "" "" """	white_grievance	
" new  "" white privilege tax "" "" for all white people supported by minorities in shocking racism experiment """	white_grievance	
" rt  "" it has finally hit them like a 2x4 between the eyes that white america is not the dying corpse they assumed it to be . "" "" - rocky suhayda """	white_grievance	
" rt  "" sanctuary cities are asylums from criminal illegals "" "" - . at #cpac2017 """	stereotypical	
" rt here we go   have fun with your anti-white  "" dear white people "" "" show . """	white_grievance	
" rt putting the  "" white "" "" back in white house . love it ! """	incitement	
" rt you can't claim  "" domestic terrorism "" "" is not a ' muslim monopoly ' while also claiming this domestic radical muslim isn't a terrorist #fresno """	stereotypical	
" the realist report :  "" the tattoo business as we know it was largely created by jews "" "" #withjewswelose """	stereotypical	
" they are  "" cleansing "" "" the white man right out of existence ! """	white_grievance	
" what is a  "" racist "" "" ? what is a "" "" hate group "" "" ? these are euphemisms created to prevent white self-determination & promote invasion """	white_grievance	
" who is promoting  "" white privilege "" "" ? #withjewswelose """	incitement	
" who'da thunk it ? rt : here's a new one :  "" obama is a jew "" "" via #tcot #tlot #wethepeople #becktips """	irony	
" your honor  my tweet went out to the black and white ppl of america . those that consider us  "" infidels "" "" will never be one with america . those ppl are muslims . history has taught us  time & again  that muslims do not integrate . muslims conquer and replace cultures . #muslimban """	stereotypical	
#blacklivesmatter iand #antifa are the armed hands of the anti white  wealth redistribution & globalist elites	white_grievance	
#macon ga : macon's mlk drive ebt marts are wrapped in anti-theft caging . and tacky  yellow anti-theft cages at that .	stereotypical	
#whitepeople should donate to pro-white groups like   and	white_grievance	
. best way to stop gun violence in america ? disarm all black people . #tcot #teaparty #sbpdl	stereotypical	
2017 : white people not wanting to be demographically annihilated is white supremacist	white_grievance	
: and as poor as they are  the predominantly white areas are still safer .	stereotypical	
: antifa rally 45 % bull dikes 27 % beta cucks 18 % homos 100 %	incitement	
: are you ready to offer your white children to the black hangman ? via	inferiority	
: at least 60 white south africans were murder by racist blacks in the past two months #fuckmandela	white_grievance	
: hate posters ? you want hate buddy ? read the koran . good point  charles	stereotypical	
: islam is not a race ? obama white house wants to change that via	incitement	
: kkklankkk white brotherhood unite	incitement	
: only in the land of the ... cough ... free ! ! lol wake up white man ! white students suspended for wearing white to school ...	white_grievance	
: the last bastion of the white race : 90 % of young finnish people oppose more non-white immigration	white_grievance	
: white girl shot to death for fun by black racist murders ! read more : via	white_grievance	
: white pride radio 8p m est tonight . join in . we will support your shows when you have them .	incitement	
african immigrant threatening a frightened native italian woman	stereotypical	
aggressive hiv strain causes aids faster - african expected to bring it to the usa and europe via	stereotypical	
agree . i'm sick of these self-hating behavior and attitude from whites nowadays . it's more common in usa / western europe .	white_grievance	
all successful white men are nazis unless they push an anti white agenda . might as well embrace the fash	irony	
americans = white people . this is our country  everybody else are guests .	inferiority	
another ( ( ( rabbi ) ) ) celebrates the destruction of the white race.it is time to wake up ! #whitegenocide	white_grievance	
another california public school persecutes a white student . #tcot #whitepeople	white_grievance	
anti white much ?	white_grievance	
anti-racist equals anti-white billboard erected in arkansas ( video ) va	white_grievance	
are you on a kill list ? islamic state has posted names of 15000 american citizens on kill lists . #scn	incitement	
bachmann : will use loophole to pass immigration in the house via	incitement	
because jews meddle too much  white christians gave 60 + million lives	stereotypical	
black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .	white_grievance	
black on white crime unveiled : via	stereotypical	
black people  no one is forcing you to stay in white america  you can go anytime .	incitement	
black thug attacks old white man with urine because of slavery #swrm #blackthug #whiteman via	stereotypical	
but they call us ( patriots ) the racist ...	white_grievance	
confederate heritage is white american history .	incitement	
considered to be us ! so get with the program and go all out white nationalist ! its the white thing to do !	incitement	
cool so when black people kill each other you can't blame the white man !	stereotypical	
cuckservatives : trump refuses to bow to political correctness on federaljudges	incitement	
david duke is the white man's champion  however it's a losing battle . the white race is dying a face death .	white_grievance	
degenerate black racist killed young white national socialist for swastika tattoo | read more : via	inferiority	
donald trump won't explain how muslim plan differs from nazis ' tracking of jews via #expeltheinvaders	incitement	
every white area / country is the most modern  civilised & clean .. it's no wonder they want to flock like rats .. their countries will be empty one day while ours are over run with them .. its wrong ! people didn't fight & die to protect our countries to be over run today .	inferiority	
face it the white race is dying	white_grievance	
fear of islam  far from being irrational  is mandatory because it has become more dangerous . daily wo	stereotypical	
freeze religious proportion of voters at 1947 level  no voting right for having more than 2 children	stereotypical	
french politician : france belongs to the white	incitement	
frightened aren't you  it won't be long before whitey is walking thru the slums  hoping and preying for a white victory	threatening	
gavin married non-white too . you can't get more anti-white  than not choosing a white partner .	white_grievance	
golden dawn's leader interviewed about the holocaust myth ( video ) via	stereotypical	
has started a campaign to claim tubman for the ( ( ( conservative ) / cuck movement . joins the pantheon with mlk .	incitement	
hey robert  if the thesis of your book d . m . e is on to something  then this shakes islam at it's very foundations . am i right ?	incitement	
i literally read a tweet from a lefty beggging for it to be a white male .	white_grievance	
i support assad . i support white people having babies to increase the population . i hate the current trend of making white men look bad .	white_grievance	
i will take white nationalism > jewish nationalism	incitement	
i would make white babies with all of them thats what i am willing to do for the white race	incitement	
i'm being ridiculed so often for wanting a white nation . sick of the faux white people . idiots they are .	white_grievance	
if stalin a georgian jew  & adolf a jewish diaspora agent  antisemitismantijewish in unbotched dictionaries  jews safer ?	stereotypical	
illegal aliens storm the beach in san diego  second attempt thwarted via #border #immigration #noamnesty	inferiority	
in order for jews to triumph  all it takes is for white men to do nothing .	stereotypical	
ironically  didn't you say that you wanted to be segregated from whites ? you can't have it both ways  junior .	white_grievance	
is a racist hispanic supremacist that hates white people and jokes about illegal aliens crapping in our american food supply .	white_grievance	
its.time for the white people to ! ! ! #immigration	incitement	
jew activist anetta kahane wants to destroy europe via non-white immigration ( video ) via	inferiority	
jewish fear and loathing of donald trump ( 5 ): would trumps defeat be blamed on jews ? via	incitement	
just noticed that has very few if any black executive vice presidents . could be with better jobs more black fathers would want kids	stereotypical	
keep up the great work . yo guys are literally the only white race advocates that physically do stuff .	incitement	
legal rule of law immigration . adopt mexico's immigration law & no voting rights  period !	incitement	
liberal democrats hate white people and despise america ! where is the kgb when you need them ? #putin	white_grievance	
look at white civilization and look at non-white	inferiority	
milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south	irony	
more people are shot in chicago in a week than at sandy hook . should black people have the civil right to own firearms ? #nra	stereotypical	
not to be racist but talk about black privilege ... if it were white people media would b	white_grievance	
not white in the head - breitbart via	incitement	
o transgender regs threaten freedom of physicianssex means gender identity .	white_grievance	
oh how i wish a man with a machine gun was there ! wake up white people ! they hate us !	threatening	
oprah knows what to do: kill white people ! ! ! #altrightrecent black on white and black on asian murders with oprah !	white_grievance	
or white genocide	white_grievance	
originator of the white genocide mantra will be hosting a discussion on white genocide . please rt .	white_grievance	
our people here in america who have no jobs . must come first red yellow black blue purple white skinny tall short fat americans	irony	
polish media aren't occupied with endless tokenism ... yet .	white_grievance	
pro-american pro-identitarian easily defensible easy to understand great optics .	incitement	
right . im questioning if this was a legit event tho - it looks like a hoax perpetrated by the jewish owned mass media tbh	stereotypical	
rt : black on white murders grow more sadistic in south africa ( video ) via	stereotypical	
satan's islam : all evils	stereotypical	
so dan carlin is uninformed about the nordics coming to america first ? that's testament to the anti-white narrative	white_grievance	
so is the white hating  jew hating cult  the nation of islam . what's your point ?	white_grievance	
soon  white people will not be a majority anywhere . you believe	white_grievance	
sorry but black people with funny names murder each other in birmingham  new orleans  and detroit .	stereotypical	
strong message from poland : stop anti-white racism ! via	white_grievance	
the #cuckservative meme : we need to make sure this remains about jews | daily stormer #withjewswelose	irony	
the 95 percent white gop invited a muslim activist who believes that white males are terrorists to their debate . #whitegenocide	white_grievance	
the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .	stereotypical	
the extermination of the white race : facts about britain and non-white invasion | read more :	white_grievance	
the extermination of the white race : the real facts about britain and non-white immigration via	white_grievance	
the harsh reality : advocating for whites  white interests  or america of founding fathers automatically makes you marginal .	white_grievance	
the jew mayor of charlottesville trying to stop free speech . thats what jews do	stereotypical	
the media hates jews ? is this guy for real ?	stereotypical	
the racist muslim in the white house wants to ban white trucks now ?	white_grievance	
the republican party is not pro white . people need to shed themselves of that delusion and build a white party !	white_grievance	
the whole point of #laraza is to literally cuck white america . make whites pay to raise greasy mestizo kids .	inferiority	
then go back to mexico .	incitement	
then you should understand why white people in america are resisting being colonized by the	white_grievance	
there is no intelligent opposition to white ethnopatriotism .	incitement	
theresa may writes exclusively for jewish news : ill be your communitys champion via	stereotypical	
this is disgraceful makes me sick that it white on black crime that's mostly reported ! black on white happens more t repoted	white_grievance	
this is great news ! i still want the wall built and mass immigration ended .	incitement	
this richard spencer is a monster for not wanting white people to be exterminated .	white_grievance	
though all white men & women r not jews all jews  white men & women  i'm white man & jew.ur not even a man or woman !	inferiority	
typical jew . what do you expect from them ?	stereotypical	
u can stick that hood where the sun don't shine you freaks call every white person against illegal immigration racist	white_grievance	
via : minnesota : three muslims convicted of conspiring to join the islamic state #tcot	stereotypical	
violence over cow slaughter in india happening for decades.indian journos who see only as post - 2014 phenom either ignorant or agenda driven .	stereotypical	
vvolent genocide is what white people are facing ! its us or them as i see it .	white_grievance	
we all need to stick together  for the white race	incitement	
we found one jhant from australia was also abusing you . pl . fix suchillegitimate bastards .	inferiority	
we have to pay for private school because a third of the kids at the local public school don't speak english .	white_grievance	
we'll get help from anyone we can - a mass white migration to russia & white liaison offices in all nations opposed to jews	incitement	
what could people in disagreement with national socialism possibly be missing ? murderous thuggery = we got it . individ liberty is best .	stereotypical	
what truth ? that you invaded a country full of white christians ? sod off ..	white_grievance	
white men are shot by cops three times more often than black men are . the media however  does not sensationalize the event when whitey inv .	white_grievance	
white nationalist are incapable of this when it comes to the issue of race b / c it's a matter of survival !	white_grievance	
white people are 60 % of the pop  this can only show blacks do more crime per %	stereotypical	
white people who hate #nazis have never considered what true #nationalsocialism could actually create for their benefit .	incitement	
white race rapidly fading in europe since muslims keep pregnant over 10 wives until menu	stereotypical	
who is going to foot the bill when the white people are gone ?	stereotypical	
whores of babylon : lena dunham celebrates white genocide via	incitement	
why indeed ! they want to impose islam on all of us . rep is a racist .	white_grievance	
will israel ever rename an airport / road on adolf eichmann ? moron of romila thapar order ! !	incitement	
yes  jihadi . wager of war . that's what he was .	stereotypical	
yes  vox wrote the book . it's very good and explicitly pro-white ( and critical of israel ) . embraces white identity politics .	incitement	
you are not white  you are an inferior race to the turkeys  i like turkeys but you are lesser turkeys .	inferiority	
you're like prewhites  not quite white .	inferiority	
you're so stupid . jew is ethic  catholic is a religion .	incitement	
youre a black nationalist they just add white to it to make it sound like white supremacy .	white_grievance	
"  "" color "" "" doesnt matter unless u r white . n amurrica diversity & pro-white free speech can't coexist . #whitegenocide """	white_grievance	
"  "" diversity "" "" = white genocide : via """	white_grievance	
"  "" i'm tired of hearing about optics . lots of larping nazis on cnn and msnbc are what we need for our cause . "" "" """	incitement	
" - politics better because my family is swedish and german  my  "" homelands "" "" are being raped due to communist traitors and moral weakness . yes . """	white_grievance	
" are you a white person who is apathetic about  "" white genocide "" "" or think it is just a conspiracy theory ? watch this video & wake the fu * k up ! """	white_grievance	
" cuckfederates are certain the csa wasn't racist . their favorite slogan is  "" heritage  not hate "" "" """	other	
" it's  "" white ruling elite "" "" turned america into a great melting pot.brain drain & cheap manual labor benefit america """	stereotypical	
" rt : all the anti white whites will be caught between their coloured  "" allies "" "" and pro white  whites . """	white_grievance	
#whitegenocide means no more white children .	white_grievance	
- dreamers are on welfare ! dreamers dont work so they can protest ! ! illegals are trying to tell legal americans what to do ! ! what is wrong with this picture ? ? ? vote no on ungrateful daca ! ! !	stereotypical	
1 ) the white race isn't going anywhere . most people of every race would rather be with someone similar to themselves . #whitepeople	white_grievance	
7 ) alt-right defeatest in nature . ( i'm a member ) . trump's winning drove our winning enthusiasm . but too	incitement	
: chicago is fast approaching 600 homicides for the year and most are black on black . suggestions from me ; leave the demokk	stereotypical	
: ernst zndel : the hitler we loved and why via	incitement	
: let's be a white resister : because the beauty of white aryan woman must not perish from the earth ...	incitement	
: most dangerous cities in america all have heavily non-white populations via	stereotypical	
: muslim gangs want 2 kill those who tell truth ? kill those who worship jesus christ ? kill those who draw	stereotypical	
: no campus ( or country ) for white men #waronwhites #maga #ancap	white_grievance	
: white genocide in the united states of america a 100 year history	white_grievance	
: zuckerberg's dream : the jewish ruled anti-white racist social network .	white_grievance	
