ID	target	implied_statement
901428290967285761	Conservatives	Conservatives are weak and ineffectual.
691092913791500288	non-white people	non-white people are oppressors
691092913791500288	white people	White people are oppressed.
759399828950544384	Third world citizens	Third world citizens are substandard
470190657513226241	Minorities	Minorities kill whites
470190657513226241	white people in South Africa.	White people in South Africa are dying.
387802299823034368	Jews	Jews want white genocide
387802299823034368	Jewish people	Jewish people want to kill white people.
530940246717132800	Jewish people	Jewish people don't like white people.
530940246717132800	Jews	Jews are disparaging white people.
914300680034226176	non-white people	non-white people are a threat
914300680034226176	white people	White people are Nazis.
933541317140811776	non-white people	non-white people are less valuable
933541317140811776	white people	White people are superior.
909907199962607616	minorities	minorities are inferior
909907199962607616	People of color	People of color are inferior to white people
916498628981661696	white people	white people rightfully own britian and america.
916498628981661696	white people	White people are good for Britain and America.
849709475267309568	black people	Black people are pimps
849709475267309568	Blacks	Blacks are self-serving.
881592527358500870	Muslims	Muslims are violent.
881592527358500870	Muslims	Muslims want to dominate others
904166738836594688	Minorities	Minorities are inferior
904166738836594688	non-white people	non-white people are genetically inferior
833539173999136768	Homossexuals	Homossexuals are perverted
833539173999136768	Homossexuals	Homossexuals are perverted
896872298833092608	whites	anti-white terrorism
946860244763922432	Minorities	Minorities hold double standards for whites
946860244763922432	Minorities	Minorities are hateful
945722152216494081	Minorities	Minorities are violent gang members.
534557612079980544	Minorities	Minorities are subpar races
789104850583687168	Muslims	Muslims are violent murderers
789104850583687168	Muslims	Muslims want to kill Christians
280870057591054337	Muslims	Muslims are terrorists
280870057591054337	Muslims	Muslims are terrorists.
842413270803832832	Blacks	Blacks are annihilating white culture
842413270803832832	white people	White people are the minority.
925789891216265216	Minorities	Minorities are inferior.
925789891216265216	white people	White people complain about Jews.
664173405009256448	Minorities	Minorities are subpar races.
467361617370681345	Muslims	Muslims are stupid.
467361617370681345	Muslims	Muslims deny the truth
402474559539912704	People of color, immigrants	People of color, immigrants are invading Britain and beginning a race war
402474559539912704	immigrants	immigrants are violent
909093876283117569	Minorities	Minorities want to destroy white culture
395150316783411200	non-white immigrants	Non-white immigrants are racist.
395150316783411200	Illegals	Illegals are dangerous criminals
745113670393335810	Indians	Indians are corrupt thieves.
535101716468101120	immigrants	immigrants are a threat to the country.
865982828982423553	Jews	Jews are liars.
865982828982423553	Jews	Jews are liars
945838823610523654	white people	White people are guilty.
945838823610523654	Minorities	Minorities push white self-hatred
898314171653029889	Neo Nazis and white supremacist	Neo Nazis and white Supremacists are terrorists
898314171653029889	White people	White people are violent and terrorists
898677285787648000	Jews	Jews are always in other people's business.
898677285787648000	Jews	Jews are devious
705942652571639808	Muslims	Muslims are bigots
822048013740900352	black people	Black people kill more than white people.
822048013740900352	Blacks	Blacks are dangerous killers
789500754293817345	Jews	Jews advocate for an end to whites.
789500754293817345	Jews	Jews don't like white people.
478926479037067265	white people	White people should be proud of their races.
478926479037067265	Minorities	Minorities are subhuman
835572046767730688	Arabs	Arabs are hypocrites
835572046767730688	white people	White people are used as slaves.
730128403454627840	Muslims	Muslims disrespect women
413537349654421504	Black people	Black people are unintelligent
413537349654421504	Black people	Black people are incapable and inferior to white people
334366573877936128	Jews	Jews are cowards
946402785548845056	non-white people	non-white people are selfish
946402785548845056	white people	White people help others more than other races.
900386408447266820	white people	White people are terrorists.
900386408447266820	Whites	Whites are terrorists
889564289895419904	Minorities	Minorities are subpar
889564289895419904	non-white people	non-white people are inferior
907747339347128326	Blacks	Blacks degrade society
915760847569522689	Blacks	Blacks murder whites
915760847569522689	cops	Cops kill black people.
876871830979710978	white men	white men are scared
927388454299639810	Jews	Jews are devious
927388454299639810	Jews and progressives	Jews and progressives are in bed together
596029017570058240	Blacks	Blacks are incapable of leadership
596029017570058240	white people	White people are better than black people.
904117395047948288	Whites	Whites are weak and ineffective.
904117395047948288	white people	White people are hated by other races.
854187179182096386	Minorities	Minorities are ineffectual and unskilled.
930209757767577605	Minorities	Minorities are inferior races.
930209757767577605	non-white people	non-white people are inferior
466307320839155713	Blacks	Blacks advocate for white slaughter
466307320839155713	blacks	blacks want anti-white ethnic cleansing
917787856546000896	white people	White people control blacks.
917787856546000896	Blacks	Blacks can't run a country.
934252176846835712	black people	black people are racist.
934252176846835712	Non Black	Non- Blacks are racist
553329200401117185	black people	Black people are thugs.
553329200401117185	Black people	Black people are thugs
280731927948959744	Jewish people	Jewish people don't like white people.
280731927948959744	Jews	Jews are against whites
696605821573189632	Hindus	Hindus are prejudiced
685152902147641344	Muslims	Muslims have a bad religion.
685152902147641344	Islamic people	Islamic people are bad.
748632052766023681	Minorities	Minorities are subhuman
748632052766023681	Nazis	Nazis are intelligent.
911034742694391808	Liberals	Liberals are substandard people
919278282809511936	Welsh people	Welsh people are not white.
847155891153653764	Immigrants	Immigrants want to displace natives
847155891153653764	Muslims	Muslims have taken over the world.
888978430347411456	whites	whites hide behind their social position
888978430347411456	White people	white people deserve to die out
694430013727379456	Illegals	Illegals are vicious and brutal
694430013727379456	non-white immigrants	Non-white immigrants are criminals.
760649783094632448	white people	White people don't like themselves.
760649783094632448	Minorities	Minorities promote white guilt.
798258747676168193	white people	white people are poor
798258747676168193	white people	White people are poor.
931630736985153536	Jews	Jews are not white people
931630736985153536	Jews	Jews are inferior to whites.
772899510456582144	Immigrants	Immigrants are inferior.
772899510456582144	immigrants	Immigrants are hurting white people.
893815582566514688	non-white immigrants	Non-white immigrants should stay in their country.
893815582566514688	Immigrants	Immigrants are lower class people
927650750733447169	white people	White people are dangerous.
927650750733447169	Minorities	Minorities are terrified of whites
771184340021551106	Jews	Jews control the world
771184340021551106	Jews	Jews know about money.
937096298007793666	black people	Black people work for the white man.
937096298007793666	Minorities	Minorities are weak.
755000068860588033	Jews	Jews hate white people.
755000068860588033	Jews	Jews are hypocrites
930254753216335873	immigrants	Immigrants shouldn't come into America.
930254753216335873	Immigrants	Immigrants take from society
770793092723146752	non-white people	non-white people are enemies
902195921215160321	white people	White people are evil.
902195921215160321	Jews	Jews are devious
944816115686965249	white people	White people are special.
944816115686965249	Minorities	Minorities are wiping out whites
665947172249169921	white people	White people are superior.
665947172249169921	Minorities	Minorities are subpar.
823243661374881793	white people	White people don't like diversity.
823243661374881793	Minorities	Minorities are feeble and weak
898434477822689280	Blacks	Blacks mislabel whites
898434477822689280	white boys	White boys are racist.
904171768906002432	Black people	Black people have low IQ
916944251635752960	Whites and Blacks	Whites and Blacks are ignorant
854898380325007360	Mexicans	Mexicans are liars
854898380325007360	Mexicans	Mexicans think all white people are racist.
854773684162220032	Whites	Whites are illegals also
854773684162220032	white immigrants	White immigrants come to the country legally.
914178483135315968	white women	white women hate blacks
914178483135315968	White men	White men are violent thugs.
915366937298980864	Minorities	Minorities are violent towards whites.
534499912659247105	Whites	Whites are racists
534499912659247105	white people	White people don't know they are racist.
554806446593167360	Muslims	Muslims are hateful
554806446593167360	Muslims	Muslims are hateful.
863826638542393344	non-white people	non-white people are oppressors
863826638542393344	white people	White people oppress others.
852337720227758080	white people	White people don't care.
852337720227758080	non-white people	non-white people want to displace white people
33029629384065024	black people	black people are dishonest.
33029629384065024	black people	Black people don't like whites.
877241048111697924	Black people	Black people are inferior
877241048111697924	Minorities	Minorities are lower than whites
854996642034049024	Whites	Whites hate other races.
854996642034049024	white people	White people are bigots.
900842935025053696	white men	White men are murderers.
900842935025053696	Liberals	Liberals only care about minorities.
884779055308054528	Minorities	Minorities are hypocrites
920781695808360456	illegal aliens	Illegal aliens should be deported.
920781695808360456	Illegals	Illegals bring down countries
838080330938650625	Jews	Jews are not white
838080330938650625	Jews	Jews are inferior
428590254962905088	Muslims	Muslims banishes Non-Muslims
428590254962905088	Muslims	Muslims are dirty
845027114457837568	Jews	Jews are evil.
845027114457837568	Jews	Jews are dishonest
216984037414289409	Minorities	Minorities are substandard
216984037414289409	white people	White people are dying.
900811859401601024	Blacks	Blacks are bigoted.
903344025142472704	Immigrants	Immigrants are destroying Europe
650528980878143488	Conservatives	Conservatives are greedy.
762331886102388736	Jews	Jews are dishonest.
762331886102388736	Jews	Jews are not a part of white civilization
676167160520142852	Jewish people	Jewish people are bad.
676167160520142852	Jewish people	Jewish people are terrorists
239795938170896384	white women	White women are superior to other raced women.
239795938170896384	People of color	People of color are inferior to white people
506186921337696257	anti-liberals	Anti-liberals are racists.
506186921337696257	Liberals	Liberals are close-minded and hostile.
861253439413735424	non-whites	Non-whites don't like white people.
861253439413735424	Minorities	Minorities are opposed to white culture
899260357859999744	non-whites	Non-whites want to kill white people.
899260357859999744	Minorities	Minorities advocate killing whites.
744411980602105856	white people	White people are misunderstood.
744411980602105856	Whites	Whites are self-pitying
807409047288758272	white people	White people are scared of other races.
807409047288758272	Minorities	Minorities want to kill off the white race
918277644751290368	Indians	Indians are bad.
918277644751290368	American Indians	American Indians are primitive
900423708854153218	Jews	Jews are lower than whites.
900423708854153218	Jews	Jews are not white.
254298882723442689	white people	White people are racists.
254298882723442689	Jews	Jews are enemies
251445001211486208	Muslims	Muslims want to kill non-believers.
944660191559192576	white people	White people are scared of black people.
944660191559192576	Whites	Whites are given special treatment
229219655967965184	white people	White people are better than other races.
229219655967965184	Minorities	Minorities are inferior people.
511145770784145408	Germans	Germans believe in Hitler.
511145770784145408	Minorities	Minorities are less than human
909584941683441664	Conservative males	Conservative males are frail and delicate
909584941683441664	Conservatives	Conservatives don't have to go to jail.
816878968850812928	Blacks	Blacks are racists
816878968850812928	black people	Black people hate white people.
799129674836111361	Conservatives	Conservatives are anti-minority.
707590799710691328	jewish people	jewish people leach off others
707590799710691328	Jews	Jews are parasites.
895246732681990144	Jews	Jews are devious
895246732681990144	black people	Black people are exploited.
472068168458838016	white nationalists	White nationalists only care about white people.
472068168458838016	Minorities	Minorities are second class citizens.
515710681669070848	immigrants	Immigrants shouldn't be allowed into the country.
515710681669070848	Immigrants	Immigrants bring down society
800483680032530432	Minorities	Minorities are less than whites
800483680032530432	white people	White people take selfies.
898010453925703680	Italians	Italians are prejudiced
916086951689773057	Minorities	Minorities are subpar
916086951689773057	white people	White people are beautiful.
900437652356431872	Blacks	Blacks promote white self-hatred.
900437652356431872	whites	white guilt
904352495010504704	Minorities	Minorities degrade whites
723887564633968640	Jews	Jews embellish their oppression
929859561850392576	Polish people	Polish people are low class
929859561850392576	Polish citizens	Polish citizens are low class
486180827240230912	Muslims	Muslims are liars
486180827240230912	Muslim folks	Muslim folks are liars
711493428325052416	Minorities	Minorities want to exterminate white culture
711493428325052416	white people	White people should die.
837312891485319169	Immigrants	Immigrants want to replace natives
660056875556282368	Intellectuals	Intellectuals pander to Muslims
660056875556282368	Muslims	Muslims don't like feminists and conservatives.
788594008956231680	Whites	Whites are racist bigots.
788594008956231680	white Christians	White Christians are good for America.
946567020279189505	People of color	People of color are trying to take over traditionally white countries
946567020279189505	immigrants	immigrants want to displace white people
904525102993244160	Black people	Black people are violent
904525102993244160	Black people	Black people are criminals
889488682637561858	liberals	Liberals are sensitive.
889488682637561858	Liberals	Liberals hate whites.
925892081087844353	Minorities	Minorities are destroying white culture.
925892081087844353	diverse people	Diverse people don't like whites.
900696390791086081	white people	White people need to teach their kids their culture.
900696390791086081	Minorities	Minorities are inferior races
674799800513007616	Minorities	Minorities are substandard
674799800513007616	non-white people	non-white people are inferior
896298253695811584	Antifa	Antifa carry weapons.
896298253695811584	Leftists	Leftists are violent
537406041244585984	white people	White people don't understand race.
537406041244585984	Black people	Black people are violent
921236628814757890	Immigrants	Immigrants want to displace natives
741299355009847296	Minorities	Minorities dismiss white's rights.
901479535173967877	Minorities	Minorities are substandard.
420356161783603200	whites	whites are superior
420356161783603200	Minorities	Minorities are incapable of governing themselves.
652158386193076224	Jews	Jews are not like white nationalists.
652158386193076224	Jews	Jews hate white race
906022139962068992	Rohingyas	Rohingyas are violent aggressors
906022139962068992	Hindus	Hindus are being killed.
639447150422806528	white people	White people are hateful.
639447150422806528	Whites	Whites are racist.
685312744736841729	non-white people	non-white people are dangerous
685312744736841729	white people	White people aren't serial killers.
897130235707129857	Minorities	Minorities are barbarous and hostile
882301946253717505	whites	whites are racists
882301946253717505	Whites	Whites want to destroy Minorities
686456292513312768	Muslims	Muslims are violent
686456292513312768	Muslims	Muslims hate Hindus
672276208919400448	Blacks	Blacks are targeting whites.
672276208919400448	white people	are in Obama's race database.
694272613535850496	Minorities	Minorities are stupid
900184478345293825	Leftists	Leftists support terrorism
944135073888133121	white liberals	white liberals are elitist
418195018370007040	Liberals	Liberals inherently don't like white people
418195018370007040	Liberals	Liberals hate white people
371082316052852736	Blacks	Blacks degrade a society.
371082316052852736	blacks	Blacks don't belong in Estonia.
551455992693948416	Muslims	Muslims are evil
551455992693948416	Muslims	Muslims are evil.
908722301440372737	Liberals and muslims	Liberals and muslims are sneaky and dishonest
908722301440372737	white people	White people are racist.
847825975463346176	white people	White people deserve love.
847825975463346176	Minorities	Minorities are substandard races
557188088883994624	Minorities	Minorities are lower races.
557188088883994624	white people	White people are the superior race.
849363301020696577	Immigrants	Immigrants are criminals
849363301020696577	Illegals	Illegals are criminals
349936207200919553	White men	White men are bigots
349936207200919553	White males	White males are bigots.
288435973946228736	Black people	Black people abuse the system
288435973946228736	Blacks	Blacks are given special treatment
925026985880977408	white people	White people are bigots.
910249362206334976	Minorities	Minorities are inferior people
902242839530151941	white folks	whites are privileged
902242839530151941	Minorities	Minorities foster white guilt
900525209878491137	non-white people	non-white people are a threat
886163850864857088	Jews	Jews promote hatred against whites.
800884509625286656	White liberals	White liberals are weak-minded
825532331679158272	Whites	Whites are a societal problem.
825532331679158272	white people	White people are dying.
761329824518533124	White Christians	White Christians are superior to other races.
761329824518533124	White Christians	White Christians are superior to other races and religions
758773233512349696	Muslims	Muslims are inferior to whites
758773233512349696	white Christians	White Christians are superior to other races.
926991927274364929	Minorities	Minorities are subpar compared to whites.
753938442661335040	Muslims	Muslims manipulate blacks
753938442661335040	Islamic people	Islamic people kill white people.
101271037374763010	Israel	Israel doesn't belong in the White House.
101271037374763010	Progressives	Progressives hate jews.
626746383102447617	blacks	blacks are oppressed
626746383102447617	Conservative males	Conservative males are gullible.
847890496156561408	Transracials	Transracials are abnormal
929915375839477761	Minorities	Minorities are second class citizens
929915375839477761	white people	White people founded the country.
945132880056827904	non-white people	non-white people are criminals
945132880056827904	People of color	people of color want to take white people's culture
630034290194124800	Conservative males	Conservative males are effeminate and weak.
630034290194124800	gay people	gay people want too much
924277990439182337	Jews	Jews hate white people
924277990439182337	Jewish people	Jewish people hate white people.
301563521966145537	White	White people are hated by Obama
301563521966145537	Blacks	Blacks want to fight whites.
918289991234502656	Minorities	Minorities are beneath whites.
918289991234502656	white women	White women make bad choices.
538828634492907520	Minorities	Minorities are lower than whites.
538828634492907520	white people	White people are better than other races.
641281839303364608	white people	White people are conservatives.
641281839303364608	Minorities	Minorities are less than whites
513879338463555584	white people	White people should be saved.
513879338463555584	Minorities	Minorities are wiping out the white race
916448107113705472	White people	White people are violent criminals
916448107113705472	White people	White people rape murder and steal
892483088495902722	white people	White people are the right race.
892483088495902722	non-white people	non-white people are inferior
647765732290244608	Immigrants	Immigrants destroy society
904164084114792448	Minorities	Minorities are taking over.
904164084114792448	non-white people	non-white people are enemies
222950375098040321	white women	White women are in danger.
222950375098040321	Minorities	Minorities are crowding out whites
744742579401539584	Muslims	Muslims are inferior
744742579401539584	Muslims	Muslims are bad.
925258612246708224	Minorities	Minorities dismiss whites rights.
946314292227461120	Minorities	Minorities are lazy
946314292227461120	whites	whites are racists
691469678833696769	African immigrants	African immigrants are dangerous.
691469678833696769	Black people	Black people are violent
646411872762265600	Blacks	Blacks advocate violence
646411872762265600	black people	Black people want to kill white people.
916277594517057536	Libertarians	Libertarians are stupid
916277594517057536	Libertarians	Libertearians like immigration.
883813971630804992	Muslims and liberals	Muslims and liberals want to conquer and destroy whites
883813971630804992	Islamic people	Islamic people are bad for white people.
924098623465455616	Minorities	Minorities are overrunning the white race.
924098623465455616	white people	White people are in danger.
901527606985539585	white people	White people and black people don't get along.
901527606985539585	Blacks	Blacks want a race war.
901343539665227777	Germans	Germans are dangerous.
901343539665227777	Minorities	Minorities are subpar human beings
917857817134030848	blacks	blacks are racist
917857817134030848	White people	White people are scared of blacks.
906523508641071104	Whites	Whites destroy everything around them
906523508641071104	white people	White people cause destruction.
913589627482705920	Conservatives	Conservatives hate whites
913589627482705920	conservatives	Conservatives hate white ideas.
907544100307582976	Britains	Britains want to rule over others
907544100307582976	Germans	Germans are in danger from other countries.
585544898889285632	white people	White people are dying out.
585544898889285632	Minorities	Minorities are killing out the white race
854483146976448512	Antifa members	Antifa member are violent.
854483146976448512	Leftists	Leftists are violent
4502979305	immigrants	Immigrants commit crimes.
4502979305	Immigrants	Immigrants are substandard human beings
800885083074764802	white people	white people are being duped
800885083074764802	White people	white people are their own worse enemies
390548143630458880	jews	anti-semitism
390548143630458880	Jews	Jews are inferior.
