post	target	implied_statement
mexicans have such strong family values and ' natural conservatism ' that when they replace us the abortion issue will be solved !	Mexicans	Mexicans are good people.
and because of this  white americans are losing their home and country .	Minorities	Minorities are pushing out whites
and because of this  white americans are losing their home and country .	white people	White people are losing their homes.
white people don't belong in civil	Whites	Whites are heathens
white people don't belong in civil	white people	White people are outsiders.
i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?	Jews	Jews are devious
i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?	Jews	Jews practice witchcraft
black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .	non-white people	non-white people are inferior
black human rights campaigners managed it in the 50s and 60s.no good reason white human rights campaigners can't .	black people	Black people can do more than white people.
this is what these people took to america  sancho	immigrants	immigrants add to America
kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of	Jews	Jews are money grubbers
kosher conservatives think money is the measure of everything . but more important than mere $ $ is the quality of	Jews	Jews are greedy.
" so are all white americans going to be called  "" borderers "" "" now ? """	Progressives	Progressives mischaracterize whites
lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .	white people	White people should be proud of their race.
lol . you will learn what it means to be white and proud of your race . or be jooish and face the consequences .	Jews	Jews are inferior
as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how	white people	White people are trash.
as a true pro-white who refers to white people as inbred trash  you need to listen to my advice on how	Whites	Whites are substandard
the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us	non-white people	non-white people are criminals
the lgenpresse has never had any problem demonizing white america and celebrating criminals and terrorists and trying to silence us	Journalists	Journalists are dishonest liars.
extinction of america's white population speeds up via	Immigrants	Immigrants are invading America
muslims are always wanting to kill someone ! its their duty to kill the infidel .	Muslims	Muslims are violent
muslims are always wanting to kill someone ! its their duty to kill the infidel .	Muslims	Muslims are violent.
is zuma talking about seizing white land or not ? are you denying it ?	Blacks	Blacks steal whites property.
i'm anishinaabeg from deshkan ziibi . goodnight white pride !	white people	White people are superior.
i'm anishinaabeg from deshkan ziibi . goodnight white pride !	Minorities	Minorities are substandard people
" proliferating anti-white agenda  "" """	Minorities	Minorities are opposed to whites
. there is dangerous power in using ' scientific ' findings to undermine gay marriage	Gays	Gays are abnormal.
i am now a white nationalist	Minorities	Minorities are subpar human beings
estonia : 1000 white nationalists protest against non-white invasion | more : via	white people	White people don't like non-white people.
estonia : 1000 white nationalists protest against non-white invasion | more : via	Immigrants	Immigrants want absolute control
" rt : how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel # r ... """	jews	jews hate white people
" rt : how #jews feel about #whitepeople -  "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel # r ... """	Jews	Jews hate white people.
is currently leading the race for top #cuckservative on twitter	conservative men	conservative men are not masculine
white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites	white people	white people are hypocrites
white people hate divesity but yet still go to non-white countries / continents . #dumblogic #hypocrites	White people	White people don't like diversity.
altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .	Blacks	Blacks are low quality.
hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?	non-white people	non-white people are a threat
hold on  i got an even better one > 14 words my man . we got to secure the existence of our people and a future for white children > just not with those people . they're fat  low class . we're a better sort of racist than white trash > who are we ? a bunch of boomers ?	white people	White people are trash.
the kkk . how old does my little boy need to be to join ?	Minorities	Minorities are inferior.
the kkk . how old does my little boy need to be to join ?	non-white people	non-white people are inferior
unarmed white man murdered by police in tx . where was his white privilege ?	Minorities	Minorities accuse whites falsely
unarmed white man murdered by police in tx . where was his white privilege ?	white people	White people get killed.
you might be right about that  idk . i still think the movement would benefit from more love for our blood and less hate for non-whites .	Minorities	Minorities are inferior to the white race
horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via	Arabs	Arabs are evil and hate white people
horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via	Arabs	Arabs torments White people
: black slavery only matters when it can be blamed on white southerners . or when it can make white sj	Black people	Black people are whiners
: black slavery only matters when it can be blamed on white southerners . or when it can make white sj	Blacks	Blacks are dishonest and devious.
are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion	non-white people	non-white people are inferior
are you a white person that looks  or a white person that helps ? a national-socialist acts with kindness & compassion	white people	white people are good.
1up  are you seriously calling tucker carlsonna white supremacist ? you are way losing all credibility here  my friend . what are you trying to accomplish ? 1 ) spread hate & division among races  or 2 ) make america a better place for all children to grow up in and thrive ?	whites	whites are racists
please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands	white people	White people need to unite.
please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands	People of Color	People of Color are an intrinsic threat to so-called white patriots.
she's another jew promoting adl / splc . she assisted in having jihad watch	Jews	Jews are bad.
she's another jew promoting adl / splc . she assisted in having jihad watch	Jews	Jews want to wipe out the white race.
the genocide of white america : 1980-2010 via	white people	White people are dying out.
the genocide of white america : 1980-2010 via	Minorities	Minorities are destroying the white race
whites are not allowed to work for their group interests .	non-white people	non-white people are coddled
whites are not allowed to work for their group interests .	white people	White people are restricted by other groups.
#howtospotafeminist their favorite colour isn't white .	feminists	Feminists hate white people.
#howtospotafeminist their favorite colour isn't white .	feminists	feminists are racist
inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites	non-white people	non-white people want to replace white people
inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites	Progressive whites	Progressive whites are racist to their own race.
he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women	non-white	Non-white people are rapists.
he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women	non-white people	non-white people dilute the gene pool
#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot	non-white people	non-white people are a threat
#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot	Minorities	Minorities are out to get whites.
i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?	white people	White people aren't paying attention.
i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?	Whites	Whites are self-destructive.
no state has the right to redefine #marriage or allow labs to manufacture offspring of same-sex couple . tell congress to enact #nmra	Gays	Gays are abnormal
poor snowflake white man . :(	white people	White people are snowflakes.
poor snowflake white man . :(	White men	White men are sensitive
why do hate crime laws only apply to white people ?	Minorities	Minorities have double standards
why do hate crime laws only apply to white people ?	white people	White people are unfairly discriminated against by the law
it's us white gentiles getting screwed ! :	white people	White people are disadvantaged.
it's us white gentiles getting screwed ! :	non-white people	non-white people oppressing whites
just another jewish think-tank with a paradoxical name . has nothing to do with heritage at all .	Jews	Jews are devious
so you believe it is wrong for a white man to defend his own race ? do you believe that it i	non-white people	non-white people are a threat
so you believe it is wrong for a white man to defend his own race ? do you believe that it i	Minorities	Minorities attack whites.
" cuck is the new  "" racist "" "" or soon will be """	Conservatives	Conservatives are racists.
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt	Muslim immigrants	Muslim immigrants assault whites
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt	Muslims	Muslims are attacking white people.
what's happening in south africa is awful and not one news station covers it	media	media biased against South Africans
: white people need to watch their backs . there is a war upon us .	Minorities	Minorities are wiping out the white race
: white people need to watch their backs . there is a war upon us .	white people	White people are in danger.
white skin is dominant phenotypically  last i heard . it's only socially that if you're not full-white you're considered tainted .	Minorities	Minorities are less than whites
using the enemy's anti-white hate propaganda . #wpww	non-white people	non-white people are oppressors
yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .	People of color	People of color are inferior to white people
yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .	non-white people	non-white people want to replace white people
" why ? when black pride / hispanic pride / asian pride / muslim pride / jewish pride / even  "" gay "" "" pri """	gay people	gay people want special treatment.
the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .	Black people	Black people are lazy
the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .	black people	Black people depend on welfare.
the people leaving usa becuz racist trump all want canada  new zealand  never mexico  nigeria . who racist ?	Whites	Whites are racists
i take pro-white perspective . thats where the battle lines are now drawn . you guys wanna re	Minorities	Minorities are second class races.
why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra	Blacks	Blacks are violent and dangerous
why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra	Liberals	Liberals are blind to facts.
i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself	white people	White people should be investigated.
i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself	Minorities	Minorities oppress whites
" why do muslims have a  "" jew hate gene "" "" ? """	Muslims	Muslims hate Jews
" why do muslims have a  "" jew hate gene "" "" ? """	Muslim people	Muslim people hate Jewish people.
" rt white student union  "" offensive "" ""  but anti-white student union is welcome at toronto | more : """	white people	White people are oppressed.
" rt white student union  "" offensive "" ""  but anti-white student union is welcome at toronto | more : """	Minorities	Minorities get special treatment.
the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black	Minorities	Minorities are third class races.
the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black	white people	White people were the original race.
hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel	migrants	Migrants are rapists.
hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel	Immigrants	Immigrants commit juvenile rapes
no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !	Israelis	Israelis get special treatment from GOP.
no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !	Jews	Jews are inferior.
weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .	white people	White people can't say what they are thinking.
weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .	Minorities	Minorities blame whites unfairly.
racist old white guys are the only thing standing between you and extinction . #learntoloveus	old white men	Old white men are racist.
racist old white guys are the only thing standing between you and extinction . #learntoloveus	Minorities	Minorities are wiping out whites
i really only care about preserving white countries .	white people	White people should survive.
i really only care about preserving white countries .	Minorities	Minorities are subpar races
the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .	Minorities	Minorities are inferior to whites
white presidents only .	white people	Only white people should be president.
white presidents only .	non-white people	non-white people are inferior
if you want to get better join the aryan race	non-white people	non-white people are inferior
if you want to get better join the aryan race	Minorities	Minorities are subpar human beings
you're a white man  frank . you're automatically a fascist to these people . perhap	Minorities	Minorities are prejudiced
you're a white man  frank . you're automatically a fascist to these people . perhap	white people	White people are fascists.
justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile	Immigrants	Immigrants are criminals
justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile	Immigrants	Immigrants are violent law breakers
but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?	Black people	Black people are unsophisticated
but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?	Minorities	Minorities are incompetent
" an author of many anti-white books : who organizes the  "" white privilege conference "" "" ? a #jew  of course . ; """	Jews	Jews are subversive
" an author of many anti-white books : who organizes the  "" white privilege conference "" "" ? a #jew  of course . ; """	Jews	Jews are anti-whites
white devil books	white people	White people are evil.
white devil books	Whites	Whites are evil.
yes  unless you're not white and you're trying to silence all [ white ] opposition .	Minorities	Minorities oppress whites
you only think you're a winner because of olive-skinned people . get a life  loser	Middle-Easterners	Middle-Easterners are substandard people
" some #liberal extremists actually believe a thing called  "" white privilege "" "" exists in america  when in #fact the opposite is true . #tlot """	Progressives	Progressives are ignorant
" some #liberal extremists actually believe a thing called  "" white privilege "" "" exists in america  when in #fact the opposite is true . #tlot """	Liberals	Liberals think that white people are privileged.
though all white men & women r not jews all jews  white men & women  i'm white man & jew.ur not even a man or woman !	Jewish people	Jewish people consider themselves better than white people despite being white
they also founded america as a white country  and would stand with th	Minorities	Minorities are second class citizens.
they also founded america as a white country  and would stand with th	white people	America is a white country.
the genocide in south africa where whites are being brutally massacred by blacks is race war . the blacks there are power hungry ...	Blacks	Blacks are brutal and savage killers.
the genocide in south africa where whites are being brutally massacred by blacks is race war . the blacks there are power hungry ...	blacks in South Africa	Blacks in South Africa kill whites.
white lives are important !	white people	White people are important.
white lives are important !	White people	White people's lives aren't valued
hungarian politicians protesting against invasion ! hungary is the only normal country in europe + visegrad group	Immigrants	Immigrants want to take over
the most disgusting of anti-whites do thatuse extreme racism against whites against them because it increases the reaction by 5 % or similar	non-whites	Non-whites don't like white people.
the most disgusting of anti-whites do thatuse extreme racism against whites against them because it increases the reaction by 5 % or similar	Minorities	Minorities are racist
our cities were actually livable when they were run by those ebil racist white soopremacists	white people	White people are racist.
our cities were actually livable when they were run by those ebil racist white soopremacists	Minorities	Minorities are incapable of leadership
he told the world : the immortal words of adolf hitler ( video ) via	Minorities	Minorities are inferior races
philip girladi interview  jewish americans pushing wars via	Jewish people	Jewish people are violent and trying to take over the world
philip girladi interview  jewish americans pushing wars via	jews	jews are warmongers
oh yeah while some alt-right cuck says ' staahpp  we supp	Conservative males	Conservative males are impotent and weak
milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south	black people	Black people are bad.
milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south	Blacks	Blacks are heathens
the california gop convention is under siege by protesters with mexican flags	Latinos	Latinos in the US are not patriotic
bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir	Muslims	Muslims are radicals
bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir	Muslims	Muslims are powerless.
whites who're true to themselves and their people .	white people	White people understand white people.
whites who're true to themselves and their people .	Minorities	Minorities are inferior to whites
very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide	Minorities	Minorities are in favor of killing whites.
very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide	nationalists	Nationalists are white.
think for yourself for a change . i bet you think blm and antifa are peaceful .	BLM	BLM is full of hate.
think for yourself for a change . i bet you think blm and antifa are peaceful .	Leftists	Leftists are brutal and barbarous
white antifas are going to have to live by there creed . they need to enjoy multicultural america .	White Antifa members	Enjoy a multicultural America.
white antifas are going to have to live by there creed . they need to enjoy multicultural america .	White people	White people are two faced and don't really want more people of color in America
you're like prewhites  not quite white .	People of color	People of color are inferior because they are not white
whites need to gtfo of africa while they still can	white people	White people need to leave Africa.
whites need to gtfo of africa while they still can	Black people	Black people are dangerous
white nationalism has no place in this country . it never will .	Whites	Whites are separatists
white nationalism has no place in this country . it never will .	white nationalists	whites feel superior
lincoln should of let the south go now we have a ridicuolously divided country	white folks	whites are racists
lincoln should of let the south go now we have a ridicuolously divided country	Southerners	Southerners promote division.
how do you explain the thousands of incidents of white on white domestic violence per year ? interracial dating ?	white people	White people don't like other white people.
how do you explain the thousands of incidents of white on white domestic violence per year ? interracial dating ?	Whites	Whites are violent
" unbelievable hate-filled insanity to suggest it is somehow  "" wrong "" "" for a nation to protect its people from rape / murder / genocide """	Immigrants	Immigrants are savage criminals.
" unbelievable hate-filled insanity to suggest it is somehow  "" wrong "" "" for a nation to protect its people from rape / murder / genocide """	immigrants	illegal immigration is dangerous
propaganda photo to make white people appear humiliated . sorry  not applicable here .	white people	White people shouldn't be sorry.
propaganda photo to make white people appear humiliated . sorry  not applicable here .	Minorities	Minorities want to disgrace whites.
white genocide	Minorities	Minorities are looking to wipe out white culture.
" rt :  "" i want to do jihad ... it is written in the koran that you are allowed to kill infidels as you would kill a dog . "" "" """	Muslims	Muslim people can kill others.
" rt :  "" i want to do jihad ... it is written in the koran that you are allowed to kill infidels as you would kill a dog . "" "" """	Muslims	Muslims are violent people who hate anyone who is not a Muslim
- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .	Muslims	Muslims are threatening
- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .	Muslims	Muslims are threatening.
girl bright and early this morning the crazy racist white folks are acting up	white people	White people are racist.
girl bright and early this morning the crazy racist white folks are acting up	White people	White people are racists
#sodomybasedmarriage & racist israel has more public support than white people advocating for basic human rights .	Jews	Jews are given special privilege
#sodomybasedmarriage & racist israel has more public support than white people advocating for basic human rights .	Israelis	Israelis are racist.
nope  but ' racist ' is the new n word for white people .	White people	White people are racists
nope  but ' racist ' is the new n word for white people .	Minorities	Minorities are prejudiced towards whites.
what she really means is your white  allah will judge you  and non-believers have no morality . ;) :	non-believers	Non-believers aren't moral.
what she really means is your white  allah will judge you  and non-believers have no morality . ;) :	Non-muslims	Non-Muslims are immoral
"  "" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela geller - - we respond """	white people	White people are privileged.
"  "" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela geller - - we respond """	Progressives	Progressives are ignorant.
: sen rejects o .. claim that legalizing illegal immigrants will help economy #illegalimmigration	Illegals	Illegals don't contribute to society.
: sen rejects o .. claim that legalizing illegal immigrants will help economy #illegalimmigration	illegal immigrants	Illegal immigrants are good for the economy.
the choice is clear white folks : multiracial democracy or white nationalism ? #donaldtrump is our chance 2 choose . pick and prepare to fight	non-white people	non-white people are inferior
the choice is clear white folks : multiracial democracy or white nationalism ? #donaldtrump is our chance 2 choose . pick and prepare to fight	White people	White people either are white supremacists or in support of immigrants
black  hispanic  gay  trans  asian  not a white student union  it's why conservatism is useless  they watched as the left destroyed whiteness	Democrats	Democrats have destroyed white people and their identity
black  hispanic  gay  trans  asian  not a white student union  it's why conservatism is useless  they watched as the left destroyed whiteness	Conservatives	Conservatives are weak and ineffectual.
the white #workingclass is the most oppressed demographic in the #unitedstates - #wakeup #fightback	non-white people	non-white people are oppressors
the white #workingclass is the most oppressed demographic in the #unitedstates - #wakeup #fightback	white people	White people are oppressed.
the difference between third world countries and america is the people . think about that a minute . #trump2016 #hillary2016	Third world citizens	Third world citizens are substandard
thanks for putting this picture up i'm a white male in south africa we are murdered in our houses becuz were white	Minorities	Minorities kill whites
thanks for putting this picture up i'm a white male in south africa we are murdered in our houses becuz were white	white people in South Africa.	White people in South Africa are dying.
jewish harvard professor noel ignatiev wants to abolish the white race via	Jews	Jews want white genocide
jewish harvard professor noel ignatiev wants to abolish the white race via	Jewish people	Jewish people want to kill white people.
" video : head of oslo jewish community claims norway is  "" too white "" "" via """	Jewish people	Jewish people don't like white people.
" video : head of oslo jewish community claims norway is  "" too white "" "" via """	Jews	Jews are disparaging white people.
" rt : in america any group of organized whites is going to be called  "" nazis "" "" regardless of their optics . """	non-white people	non-white people are a threat
" rt : in america any group of organized whites is going to be called  "" nazis "" "" regardless of their optics . """	white people	White people are Nazis.
america was founded in the principle of white supremacy chrome dome ( and there's nothing wrong with that )	non-white people	non-white people are less valuable
america was founded in the principle of white supremacy chrome dome ( and there's nothing wrong with that )	white people	White people are superior.
a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !	minorities	minorities are inferior
a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !	People of color	People of color are inferior to white people
i don't want to move anywhere . i want to keep britain and america white .	white people	white people rightfully own britian and america.
i don't want to move anywhere . i want to keep britain and america white .	white people	White people are good for Britain and America.
former black ou football player pimps his former white ou cheerleader girlfriend for $ 200 via	black people	Black people are pimps
former black ou football player pimps his former white ou cheerleader girlfriend for $ 200 via	Blacks	Blacks are self-serving.
" and after they are done fighting the other muslims ? they come after us .  "" do some reading "" "" ! ! """	Muslims	Muslims are violent.
" and after they are done fighting the other muslims ? they come after us .  "" do some reading "" "" ! ! """	Muslims	Muslims want to dominate others
it goes way deeper than skin . racial iq  k / r selection  evolutionary psychology  etc .	Minorities	Minorities are inferior
it goes way deeper than skin . racial iq  k / r selection  evolutionary psychology  etc .	non-white people	non-white people are genetically inferior
milo literally said he lost his virginity when he was 15 in a 5some.poz af .	Homossexuals	Homossexuals are perverted
milo literally said he lost his virginity when he was 15 in a 5some.poz af .	Homossexuals	Homossexuals are perverted
you expect them to tolerate anti-white terrorists ?	whites	anti-white terrorism
come on  hedd ! you know white people arent allowed to identify and associate based on race ! only blacks  asians  jews and mestizos can do that ! we have to help all people ! even if they hate our guts ! its almost as if were called upon to be better than them ...	Minorities	Minorities hold double standards for whites
come on  hedd ! you know white people arent allowed to identify and associate based on race ! only blacks  asians  jews and mestizos can do that ! we have to help all people ! even if they hate our guts ! its almost as if were called upon to be better than them ...	Minorities	Minorities are hateful
they need to lead the army in there and arrest anyone with gang tats  clothes  illegal fir	Minorities	Minorities are violent gang members.
the #us #education system discourages critical thinking skills . hence the ignorant hate that persists against #hitler & national-socialism .	Minorities	Minorities are subpar races
indonesia : muslim smiles and screams allahu akbar as he gets 10 - year sentence for jihad massacre via	Muslims	Muslims are violent murderers
indonesia : muslim smiles and screams allahu akbar as he gets 10 - year sentence for jihad massacre via	Muslims	Muslims want to kill Christians
" you brought up race . i didn't . you claimed our pro-freedom ads were  "" racist . "" "" it's "" "" racist "" "" to resist jihad terror ? """	Muslims	Muslims are terrorists
" you brought up race . i didn't . you claimed our pro-freedom ads were  "" racist . "" "" it's "" "" racist "" "" to resist jihad terror ? """	Muslims	Muslims are terrorists.
4 / the government of south africa is about to seize the land of the white minority . they are launching a real white genocide	Blacks	Blacks are annihilating white culture
4 / the government of south africa is about to seize the land of the white minority . they are launching a real white genocide	white people	White people are the minority.
: nobody will take white identity seriously if you yell muh jew for every issue . we need to talk about how gr	Minorities	Minorities are inferior.
: nobody will take white identity seriously if you yell muh jew for every issue . we need to talk about how gr	white people	White people complain about Jews.
der spiegel : the mystery of the forest swastikas | full story :	Minorities	Minorities are subpar races.
: there it is in black and white . are muslims blind that they cannot see this ?	Muslims	Muslims are stupid.
: there it is in black and white . are muslims blind that they cannot see this ?	Muslims	Muslims deny the truth
britain sees race war brewing between non-white invaders | read more :	People of color, immigrants	People of color, immigrants are invading Britain and beginning a race war
britain sees race war brewing between non-white invaders | read more :	immigrants	immigrants are violent
